name;link
Xadrez Verbal Podcast #317 – COP27, G20 e Copa do Mundo ;https://xadrezverbal.com/2022/11/26/xadrez-verbal-podcast-317-cop27-g20-e-copa-do-mundo/
Xadrez Verbal Podcast #316 – COP27, Europa e midterms ;https://xadrezverbal.com/2022/11/12/xadrez-verbal-podcast-316-cop27-europa-e-midterms/
Xadrez Verbal Podcast #315 – Lula, Europa e Pacífico ;https://xadrezverbal.com/2022/11/04/xadrez-verbal-podcast-315-lula-europa-e-pacifico/
Xadrez Verbal Podcast #314 – Oriente Médio, Pacífico e Europa ;https://xadrezverbal.com/2022/10/29/xadrez-verbal-podcast-314-oriente-medio-pacifico-e-europa/
Xadrez Verbal Podcast #313 – Jerusalém, China e alface britânica ;https://xadrezverbal.com/2022/10/21/xadrez-verbal-podcast-313-jerusalem-china-e-alface-britanica/
Xadrez Verbal Podcast #312 – Ponte, Pacífico e Oriente Médio ;https://xadrezverbal.com/2022/10/15/xadrez-verbal-podcast-312-ponte-pacifico-e-oriente-medio/
Xadrez Verbal Podcast #311 – África, Pacífico e anexações ;https://xadrezverbal.com/2022/10/08/xadrez-verbal-podcast-311-africa-pacifico-e-anexacoes/
Xadrez Verbal Podcast #310 – Irã e 77ª Assembleia Geral da ONU ;https://xadrezverbal.com/2022/09/27/xadrez-verbal-podcast-310-ira-e-77a-assembleia-geral-da-onu/
Xadrez Verbal Podcast #309 – Pacto de Xangai, Cáucaso e AL ;https://xadrezverbal.com/2022/09/17/xadrez-verbal-podcast-309-pacto-de-xangai-caucaso-e-al/
Xadrez Verbal Podcast #308 – Chile e Elizabeth II ;https://xadrezverbal.com/2022/09/10/xadrez-verbal-podcast-308-chile-e-elizabeth-ii/
Xadrez Verbal Podcast #307 – Uigures, América Latina e Europa ;https://xadrezverbal.com/2022/09/03/xadrez-verbal-podcast-307-uigures-america-latina-e-europa/
Xadrez Verbal Podcast #306 – África, Pacífico e Europa ;https://xadrezverbal.com/2022/08/27/xadrez-verbal-podcast-306-africa-pacifico-e-europa/
Xadrez Verbal Podcast #305 – Dose dupla! ;https://xadrezverbal.com/2022/08/19/xadrez-verbal-podcast-305-dose-dupla/
Xadrez Verbal Podcast #304 – África, Europa e Pacífico ;https://xadrezverbal.com/2022/08/06/xadrez-verbal-podcast-304-africa-europa-e-pacifico/
Xadrez Verbal Podcast #303 – Economia mundial ;https://xadrezverbal.com/2022/07/30/xadrez-verbal-podcast-303-economia-mundial/
Xadrez Verbal Podcast #302 – Oriente Médio, Ucrânia e Pacífico ;https://xadrezverbal.com/2022/07/23/xadrez-verbal-podcast-302-oriente-medio-ucrania-e-pacifico/
Xadrez Verbal Podcast #301 – Sri Lanka, Europa e Pacífico ;https://xadrezverbal.com/2022/07/16/xadrez-verbal-podcast-301-sri-lanka-europa-e-pacifico/
Xadrez Verbal Podcast #300 – África, Ásia e renúncia de Boris Johnson ;https://xadrezverbal.com/2022/07/09/xadrez-verbal-podcast-300-africa-asia-e-renuncia-de-boris-johnson/
Xadrez Verbal Podcast #299 – Ignácio Ibáñez e cúpulas do G7 e da OTAN ;https://xadrezverbal.com/2022/07/02/xadrez-verbal-podcast-299-ignacio-ibanez-e-cupulas-do-g7-e-da-otan/
Xadrez Verbal Podcast #298 – Retorno do hiato ;https://xadrezverbal.com/2022/06/25/xadrez-verbal-podcast-298-retorno-do-hiato/
Xadrez Verbal Podcast #297 – Oriente Médio, Europa e Pacífico ;https://xadrezverbal.com/2022/06/04/xadrez-verbal-podcast-297-oriente-medio-europa-e-pacifico/
Xadrez Verbal Podcast #296 – Oriente Médio, Europa e Pacífico ;https://xadrezverbal.com/2022/05/27/xadrez-verbal-podcast-296-oriente-medio-europa-e-pacifico/
Xadrez Verbal Podcast #295 – Eurovision, Pacífico e Oriente Médio ;https://xadrezverbal.com/2022/05/21/xadrez-verbal-podcast-295-eurovision-pacifico-e-oriente-medio/
Xadrez Verbal Podcast #294 – Ásia, Europa e América Latina ;https://xadrezverbal.com/2022/05/14/xadrez-verbal-podcast-294-asia-europa-e-america-latina/
Xadrez Verbal Podcast #293 – Roe vs Wade, Ucrânia e Europa ;https://xadrezverbal.com/2022/05/07/xadrez-verbal-podcast-293-roe-vs-wade-ucrania-e-europa/
Xadrez Verbal Podcast #292 – França, Ucrânia e Pacífico ;https://xadrezverbal.com/2022/04/30/xadrez-verbal-podcast-292-franca-ucrania-e-pacifico/
Xadrez Verbal Podcast #291 – Guerra na Ucrânia, Europa e Pacífico ;https://xadrezverbal.com/2022/04/23/xadrez-verbal-podcast-291-guerra-na-ucrania-europa-e-pacifico/
Xadrez Verbal Podcast #290 – Cruzador Moskva, Europa e Pacífico ;https://xadrezverbal.com/2022/04/15/xadrez-verbal-podcast-290-cruzador-moskva-europa-e-pacifico/
